Constituency Name,State,Winning Party,Winning Candidate
Adilabad,Andhra Pradesh,TDP,RATHOD RAMESH
Peddapalle,Andhra Pradesh,INC,DR.G.VIVEKANAND
Karimnagar,Andhra Pradesh,INC,PONNAM PRABHAKAR
Nizamabad,Andhra Pradesh,INC,MADHU YASKHI GOUD
Zahirabad,Andhra Pradesh,INC,SURESH KUMAR SHETKAR
Medak,Andhra Pradesh,TRS,VIJAYA SHANTHI .M
Malkajgiri,Andhra Pradesh,INC,SARVEY SATHYANARAYANA
Secundrabad,Andhra Pradesh,INC,ANJAN KUMAR YADAV M
Hyderabad,Andhra Pradesh,AIMIM,ASADUDDIN OWAISI
CHELVELLA,Andhra Pradesh,INC,JAIPAL REDDY SUDINI
Mahbubnagar,Andhra Pradesh,TRS,K. CHANDRASEKHAR RAO
Nagarkurnool,Andhra Pradesh,INC,DR. MANDA JAGANNATH
Nalgonda,Andhra Pradesh,INC,GUTHA SUKENDER REDDY
Bhongir,Andhra Pradesh,INC,KOMATIREDDY RAJ GOPAL REDDY
Warangal,Andhra Pradesh,INC,RAJAIAH SIRICILLA
Mahabubabad,Andhra Pradesh,INC,P. BALRAM
Khammam,Andhra Pradesh,TDP,NAMA NAGESWARA RAO
Aruku,Andhra Pradesh,INC,KISHORE CHANDRA SURYANARAYANA DEO VYRICHERLA
Srikakulam,Andhra Pradesh,INC,KILLI KRUPA RANI
Vizianagaram,Andhra Pradesh,INC,JHANSI LAKSHMI BOTCHA
Visakhapatnam,Andhra Pradesh,INC,DAGGUBATI PURANDESWARI
Anakapalli,Andhra Pradesh,INC,SABBAM HARI
Kakinada,Andhra Pradesh,INC,M.M.PALLAMRAJU
Amalapuram,Andhra Pradesh,INC,G.V.HARSHA KUMAR
Rajahmundry,Andhra Pradesh,INC,ARUNA KUMAR VUNDAVALLI
Narsapuram,Andhra Pradesh,INC,BAPIRAJU KANUMURU
Eluru,Andhra Pradesh,INC,KAVURI SAMBASIVA RAO
Machilipatnam,Andhra Pradesh,TDP,KONAKALLA NARAYANA RAO
Vijayawada,Andhra Pradesh,INC,LAGADAPATI RAJA GOPAL
Guntur,Andhra Pradesh,INC,RAYAPATI SAMBASIVA RAO
Narasaraopet,Andhra Pradesh,TDP,MODUGULA VENUGOPALA REDDY
Bapatla,Andhra Pradesh,INC,PANABAKA LAKSHMI
Ongole,Andhra Pradesh,INC,MAGUNTA SRINIVASULU REDDY
Nandyal,Andhra Pradesh,INC,S.P.Y.REDDY
Kurnool,Andhra Pradesh,INC,KOTLA JAYA SURYA PRAKASH REDDY
Anantapur,Andhra Pradesh,INC,ANANTHA VENKATA RAMI REDDY
Hindupur,Andhra Pradesh,TDP,KRISTAPPA NIMMALA
Kadapa,Andhra Pradesh,INC,Y.S. JAGAN MOHAN REDDY
Nellore,Andhra Pradesh,INC,MEKAPATI RAJAMOHAN REDDY
Tirupati,Andhra Pradesh,INC,CHINTA MOHAN
Rajampet,Andhra Pradesh,INC,ANNAYYAGARI SAI PRATHAP
Chittoor,Andhra Pradesh,TDP,NARAMALLI SIVAPRASAD
Arunachal West,Arunachal Pradesh,INC,TAKAM SANJOY
Arunachal East,Arunachal Pradesh,INC,NINONG ERING
Karimganj,Assam,INC,LALIT MOHAN SUKLABAIDYA
Silchar,Assam,BJP,KABINDRA PURKAYASTHA
Autonomous District,Assam,INC,BIREN SINGH ENGTI
Dhubri,Assam,AUDF,BADRUDDIN AJMAL
Kokrajhar,Assam,BOPF,SANSUMA KHUNGGUR BWISWMUTHIARY
Barpeta,Assam,INC,ISMAIL HUSSAIN
Gauhati,Assam,BJP,BIJOYA CHAKRAVARTY
